Id,Code,Year,gdp
Afghanistan,AFG,2000,6206547500
Afghanistan,AFG,2005,8874481000
Afghanistan,AFG,2010,15354613000
Afghanistan,AFG,2015,19134222000
Afghanistan,AFG,2020,20621957000
Albania,ALB,1990,5279161000
Albania,ALB,1995,4743489000
Albania,ALB,2000,6057219000
Albania,ALB,2005,8057259500
Albania,ALB,2010,10420209000
Albania,ALB,2015,11386853000
Albania,ALB,2020,12534896000
Algeria,DZA,1990,91497230000
Algeria,DZA,1995,92675800000
Algeria,DZA,2000,109811550000
Algeria,DZA,2005,139840300000
Algeria,DZA,2010,161276870000
Algeria,DZA,2015,187493860000
Algeria,DZA,2020,192185830000
American Samoa,ASM,2005,752116030
American Samoa,ASM,2010,687384700
American Samoa,ASM,2015,673000000
American Samoa,ASM,2020,656560300
Andorra,AND,1990,1638036100
Andorra,AND,1995,1765217900
Andorra,AND,2000,2240766200
Andorra,AND,2005,3137731800
Andorra,AND,2010,2927793000
Andorra,AND,2015,2789881300
Andorra,AND,2020,2672446000
Angola,AGO,1990,27672785000
Angola,AGO,1995,23312876000
Angola,AGO,2000,31304495000
Angola,AGO,2005,48737395000
Angola,AGO,2010,72556300000
Angola,AGO,2015,90496420000
Angola,AGO,2020,81399190000
Antigua and Barbuda,ATG,1990,830215200
Antigua and Barbuda,ATG,1995,921725200
Antigua and Barbuda,ATG,2000,1195469200
Antigua and Barbuda,ATG,2005,1377129100
Antigua and Barbuda,ATG,2010,1376434400
Antigua and Barbuda,ATG,2015,1437755500
Antigua and Barbuda,ATG,2020,1371776500
Argentina,ARG,1990,265817210000
Argentina,ARG,1995,348389340000
Argentina,ARG,2000,395646070000
Argentina,ARG,2005,435296600000
Argentina,ARG,2010,552738160000
Argentina,ARG,2015,594749300000
Argentina,ARG,2020,514874340000
Armenia,ARM,1990,5839777300
Armenia,ARM,1995,3083849000
Armenia,ARM,2000,3959424800
Armenia,ARM,2005,7048228000
Armenia,ARM,2010,8513509000
Armenia,ARM,2015,10553338000
Armenia,ARM,2020,11941036000
Aruba,ABW,1990,1669818600
Aruba,ABW,1995,2272818200
Aruba,ABW,2000,2735726800
Aruba,ABW,2005,3051023400
Aruba,ABW,2010,2782678000
Aruba,ABW,2015,2962907100
Aruba,ABW,2020,2383267000
Australia,AUS,1990,629466800000
Australia,AUS,1995,707786300000
Australia,AUS,2000,872651700000
Australia,AUS,2005,1026057040000
Australia,AUS,2010,1180435000000
Australia,AUS,2015,1351296400000
Australia,AUS,2020,1491062600000
Austria,AUT,1990,239296970000
Austria,AUT,1995,267089380000
Austria,AUT,2000,309014800000
Austria,AUT,2005,337250580000
Austria,AUT,2010,359922500000
Austria,AUT,2015,379546100000
Austria,AUT,2020,387247800000
Azerbaijan,AZE,1990,20240091000
Azerbaijan,AZE,1995,8472531000
Azerbaijan,AZE,2000,11918436000
Azerbaijan,AZE,2005,22086103000
Azerbaijan,AZE,2010,47220190000
Azerbaijan,AZE,2015,53076234000
Azerbaijan,AZE,2020,51308990000
Bahamas,BHS,1990,8557996000
Bahamas,BHS,1995,8517089300
Bahamas,BHS,2000,10506335000
Bahamas,BHS,2005,11404887000
Bahamas,BHS,2010,11272448000
Bahamas,BHS,2015,11671900000
Bahamas,BHS,2020,9452937000
Bahrain,BHR,1990,9444383000
Bahrain,BHR,1995,13114494000
Bahrain,BHR,2000,16199664000
Bahrain,BHR,2005,20833696000
Bahrain,BHR,2010,27303230000
Bahrain,BHR,2015,32523299000
Bahrain,BHR,2020,34724774000
Bangladesh,BGD,1990,52852404000
Bangladesh,BGD,1995,65950654000
