Id,Label
World,World
Sub-Saharan Africa,Sub-Saharan Africa
Northern Africa and Western Asia,Northern Africa and Western Asia
Central and Southern Asia,Central and Southern Asia
Eastern and South-Eastern Asia,Eastern and South-Eastern Asia
Latin America and the Caribbean,Latin America and the Caribbean
Oceania (excluding Australia and New Zealand),Oceania (excluding Australia and New Zealand)
Australia/New Zealand,Australia/New Zealand
Europe and Northern America,Europe and Northern America
More developed regions,More developed regions
Less developed regions,Less developed regions
Least developed countries,Least developed countries
"Less developed regions, excluding least developed countries","Less developed regions, excluding least developed countries"
"Less developed regions, excluding China","Less developed regions, excluding China"
Land-locked Developing Countries (LLDC),Land-locked Developing Countries (LLDC)
Small Island Developing States (SIDS),Small Island Developing States (SIDS)
High-and-upper-middle-income countries,High-and-upper-middle-income countries
Low-and-Lower-middle-income countries,Low-and-Lower-middle-income countries
High-income countries,High-income countries
Low-and-middle-income countries,Low-and-middle-income countries
Middle-income countries,Middle-income countries
Upper-middle-income countries,Upper-middle-income countries
Lower-middle-income countries,Lower-middle-income countries
Low-income countries,Low-income countries
No income group available,No income group available
AFRICA,AFRICA
Eastern Africa,Eastern Africa
Burundi,Burundi
Comoros,Comoros
Djibouti,Djibouti
Eritrea,Eritrea
Ethiopia,Ethiopia
Kenya,Kenya
Madagascar,Madagascar
Malawi,Malawi
Mauritius,Mauritius
Mayotte,Mayotte
Mozambique,Mozambique
Réunion,Réunion
Rwanda,Rwanda
Seychelles,Seychelles
Somalia,Somalia
South Sudan,South Sudan
Uganda,Uganda
United Republic of Tanzania,United Republic of Tanzania
Zambia,Zambia
Zimbabwe,Zimbabwe
Middle Africa,Middle Africa
Angola,Angola
Cameroon,Cameroon
Central African Republic,Central African Republic
Chad,Chad
Congo,Congo
Democratic Republic of the Congo,Democratic Republic of the Congo
Equatorial Guinea,Equatorial Guinea
Gabon,Gabon
Sao Tome and Principe,Sao Tome and Principe
Northern Africa,Northern Africa
Algeria,Algeria
Egypt,Egypt
Libya,Libya
Morocco,Morocco
Sudan,Sudan
Tunisia,Tunisia
Western Sahara,Western Sahara
Southern Africa,Southern Africa
Botswana,Botswana
Eswatini,Eswatini
Lesotho,Lesotho
Namibia,Namibia
South Africa,South Africa
Western Africa,Western Africa
Benin,Benin
Burkina Faso,Burkina Faso
Cabo Verde,Cabo Verde
Côte d'Ivoire,Côte d'Ivoire
Gambia,Gambia
Ghana,Ghana
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Liberia,Liberia
Mali,Mali
Mauritania,Mauritania
Niger,Niger
Nigeria,Nigeria
Saint Helena,Saint Helena
Senegal,Senegal
Sierra Leone,Sierra Leone
Togo,Togo
ASIA,ASIA
Central Asia,Central Asia
Kazakhstan,Kazakhstan
Kyrgyzstan,Kyrgyzstan
Tajikistan,Tajikistan
Turkmenistan,Turkmenistan
Uzbekistan,Uzbekistan
Eastern Asia,Eastern Asia
China,China
"China, Hong Kong SAR","China, Hong Kong SAR"
"China, Macao SAR","China, Macao SAR"
"China, Taiwan Province of China","China, Taiwan Province of China"
Dem. People's Republic of Korea,Dem. People's Republic of Korea
Japan,Japan
Mongolia,Mongolia
Republic of Korea,Republic of Korea
Southern Asia,Southern Asia
Afghanistan,Afghanistan
Bangladesh,Bangladesh
Bhutan,Bhutan
India,India
Iran (Islamic Republic of),Iran (Islamic Republic of)
Maldives,Maldives
Nepal,Nepal
Pakistan,Pakistan
Sri Lanka,Sri Lanka
South-Eastern Asia,South-Eastern Asia
Brunei Darussalam,Brunei Darussalam
Cambodia,Cambodia
Indonesia,Indonesia
Lao People's Democratic Republic,Lao People's Democratic Republic
Malaysia,Malaysia
Myanmar,Myanmar
Philippines,Philippines
Singapore,Singapore
Thailand,Thailand
Timor-Leste,Timor-Leste
Viet Nam,Viet Nam
Western Asia,Western Asia
Armenia,Armenia
Azerbaijan,Azerbaijan
Bahrain,Bahrain
Cyprus,Cyprus
Georgia,Georgia
Iraq,Iraq
Israel,Israel
Jordan,Jordan
Kuwait,Kuwait
Lebanon,Lebanon
Oman,Oman
Qatar,Qatar
Saudi Arabia,Saudi Arabia
State of Palestine,State of Palestine
Syrian Arab Republic,Syrian Arab Republic
Türkiye,Türkiye
